Date,Package Name,Daily Crashes,Daily ANRs
2021-12-01,com.vansteinengroentjes.apps.ddfive,69,0
2021-12-02,com.vansteinengroentjes.apps.ddfive,45,0
2021-12-03,com.vansteinengroentjes.apps.ddfive,62,0
2021-12-04,com.vansteinengroentjes.apps.ddfive,62,1
2021-12-05,com.vansteinengroentjes.apps.ddfive,57,1
2021-12-06,com.vansteinengroentjes.apps.ddfive,57,0
2021-12-07,com.vansteinengroentjes.apps.ddfive,60,0
2021-12-08,com.vansteinengroentjes.apps.ddfive,56,0
2021-12-09,com.vansteinengroentjes.apps.ddfive,82,0
2021-12-10,com.vansteinengroentjes.apps.ddfive,47,0
2021-12-11,com.vansteinengroentjes.apps.ddfive,63,0
2021-12-12,com.vansteinengroentjes.apps.ddfive,62,0
2021-12-13,com.vansteinengroentjes.apps.ddfive,45,0
2021-12-14,com.vansteinengroentjes.apps.ddfive,40,1
2021-12-15,com.vansteinengroentjes.apps.ddfive,53,0
2021-12-16,com.vansteinengroentjes.apps.ddfive,58,0
2021-12-17,com.vansteinengroentjes.apps.ddfive,79,0
2021-12-18,com.vansteinengroentjes.apps.ddfive,62,0
2021-12-19,com.vansteinengroentjes.apps.ddfive,51,0
2021-12-20,com.vansteinengroentjes.apps.ddfive,40,0
2021-12-21,com.vansteinengroentjes.apps.ddfive,71,0
2021-12-22,com.vansteinengroentjes.apps.ddfive,44,0
2021-12-23,com.vansteinengroentjes.apps.ddfive,52,0
2021-12-24,com.vansteinengroentjes.apps.ddfive,43,0
2021-12-25,com.vansteinengroentjes.apps.ddfive,59,0
2021-12-26,com.vansteinengroentjes.apps.ddfive,67,0
2021-12-27,com.vansteinengroentjes.apps.ddfive,64,0
2021-12-28,com.vansteinengroentjes.apps.ddfive,60,0
2021-12-29,com.vansteinengroentjes.apps.ddfive,37,0
2021-12-30,com.vansteinengroentjes.apps.ddfive,46,1
2021-12-31,com.vansteinengroentjes.apps.ddfive,50,0
