Date,Package Name,Daily Crashes,Daily ANRs
2021-11-01,com.vansteinengroentjes.apps.ddfive,17,0
2021-11-02,com.vansteinengroentjes.apps.ddfive,16,0
2021-11-03,com.vansteinengroentjes.apps.ddfive,7,1
2021-11-04,com.vansteinengroentjes.apps.ddfive,11,0
2021-11-05,com.vansteinengroentjes.apps.ddfive,10,0
2021-11-06,com.vansteinengroentjes.apps.ddfive,39,0
2021-11-07,com.vansteinengroentjes.apps.ddfive,9,1
2021-11-08,com.vansteinengroentjes.apps.ddfive,60,0
2021-11-09,com.vansteinengroentjes.apps.ddfive,38,0
2021-11-10,com.vansteinengroentjes.apps.ddfive,31,1
2021-11-11,com.vansteinengroentjes.apps.ddfive,7,0
2021-11-12,com.vansteinengroentjes.apps.ddfive,28,4
2021-11-13,com.vansteinengroentjes.apps.ddfive,23,0
2021-11-14,com.vansteinengroentjes.apps.ddfive,14,0
2021-11-15,com.vansteinengroentjes.apps.ddfive,19,1
2021-11-16,com.vansteinengroentjes.apps.ddfive,34,0
2021-11-17,com.vansteinengroentjes.apps.ddfive,22,0
2021-11-18,com.vansteinengroentjes.apps.ddfive,51,1
2021-11-19,com.vansteinengroentjes.apps.ddfive,27,0
2021-11-20,com.vansteinengroentjes.apps.ddfive,26,2
2021-11-21,com.vansteinengroentjes.apps.ddfive,36,0
2021-11-22,com.vansteinengroentjes.apps.ddfive,44,0
2021-11-23,com.vansteinengroentjes.apps.ddfive,54,0
2021-11-24,com.vansteinengroentjes.apps.ddfive,47,0
2021-11-25,com.vansteinengroentjes.apps.ddfive,48,0
2021-11-26,com.vansteinengroentjes.apps.ddfive,40,0
2021-11-27,com.vansteinengroentjes.apps.ddfive,63,0
2021-11-28,com.vansteinengroentjes.apps.ddfive,45,0
2021-11-29,com.vansteinengroentjes.apps.ddfive,31,0
2021-11-30,com.vansteinengroentjes.apps.ddfive,47,1
