Date,Package Name,Daily Average Rating,Total Average Rating
2021-12-01,com.vansteinengroentjes.apps.ddfive,NA,4.14
2021-12-02,com.vansteinengroentjes.apps.ddfive,3.00,4.14
2021-12-03,com.vansteinengroentjes.apps.ddfive,NA,4.14
2021-12-04,com.vansteinengroentjes.apps.ddfive,4.00,4.14
2021-12-05,com.vansteinengroentjes.apps.ddfive,4.50,4.14
2021-12-06,com.vansteinengroentjes.apps.ddfive,NA,4.14
2021-12-07,com.vansteinengroentjes.apps.ddfive,NA,4.14
2021-12-08,com.vansteinengroentjes.apps.ddfive,NA,4.14
2021-12-09,com.vansteinengroentjes.apps.ddfive,NA,4.14
2021-12-10,com.vansteinengroentjes.apps.ddfive,1.00,4.14
2021-12-11,com.vansteinengroentjes.apps.ddfive,NA,4.14
2021-12-12,com.vansteinengroentjes.apps.ddfive,NA,4.14
2021-12-13,com.vansteinengroentjes.apps.ddfive,4.50,4.14
2021-12-14,com.vansteinengroentjes.apps.ddfive,NA,4.14
2021-12-15,com.vansteinengroentjes.apps.ddfive,NA,4.14
2021-12-16,com.vansteinengroentjes.apps.ddfive,NA,4.14
2021-12-17,com.vansteinengroentjes.apps.ddfive,NA,4.14
2021-12-18,com.vansteinengroentjes.apps.ddfive,NA,4.14
2021-12-19,com.vansteinengroentjes.apps.ddfive,NA,4.14
2021-12-20,com.vansteinengroentjes.apps.ddfive,NA,4.14
2021-12-21,com.vansteinengroentjes.apps.ddfive,NA,4.14
2021-12-22,com.vansteinengroentjes.apps.ddfive,NA,4.14
2021-12-23,com.vansteinengroentjes.apps.ddfive,NA,4.14
2021-12-24,com.vansteinengroentjes.apps.ddfive,NA,4.14
2021-12-25,com.vansteinengroentjes.apps.ddfive,NA,4.14
2021-12-26,com.vansteinengroentjes.apps.ddfive,NA,4.14
2021-12-27,com.vansteinengroentjes.apps.ddfive,NA,4.14
2021-12-28,com.vansteinengroentjes.apps.ddfive,4.00,4.14
2021-12-29,com.vansteinengroentjes.apps.ddfive,NA,4.14
2021-12-30,com.vansteinengroentjes.apps.ddfive,NA,4.14
2021-12-31,com.vansteinengroentjes.apps.ddfive,5.00,4.14
