Date,Package Name,Daily Average Rating,Total Average Rating
2021-06-01,com.vansteinengroentjes.apps.ddfive,5.00,4.15
2021-06-02,com.vansteinengroentjes.apps.ddfive,2.00,4.15
2021-06-03,com.vansteinengroentjes.apps.ddfive,NA,4.15
2021-06-04,com.vansteinengroentjes.apps.ddfive,NA,4.15
2021-06-05,com.vansteinengroentjes.apps.ddfive,NA,4.15
2021-06-06,com.vansteinengroentjes.apps.ddfive,NA,4.15
2021-06-07,com.vansteinengroentjes.apps.ddfive,5.00,4.15
2021-06-08,com.vansteinengroentjes.apps.ddfive,5.00,4.15
2021-06-09,com.vansteinengroentjes.apps.ddfive,NA,4.15
2021-06-10,com.vansteinengroentjes.apps.ddfive,NA,4.15
2021-06-11,com.vansteinengroentjes.apps.ddfive,NA,4.15
2021-06-12,com.vansteinengroentjes.apps.ddfive,4.00,4.15
2021-06-13,com.vansteinengroentjes.apps.ddfive,NA,4.15
2021-06-14,com.vansteinengroentjes.apps.ddfive,NA,4.15
2021-06-15,com.vansteinengroentjes.apps.ddfive,NA,4.15
2021-06-16,com.vansteinengroentjes.apps.ddfive,5.00,4.15
2021-06-17,com.vansteinengroentjes.apps.ddfive,5.00,4.15
2021-06-18,com.vansteinengroentjes.apps.ddfive,NA,4.15
2021-06-19,com.vansteinengroentjes.apps.ddfive,NA,4.15
2021-06-20,com.vansteinengroentjes.apps.ddfive,4.00,4.15
2021-06-21,com.vansteinengroentjes.apps.ddfive,NA,4.15
2021-06-22,com.vansteinengroentjes.apps.ddfive,1.00,4.15
2021-06-23,com.vansteinengroentjes.apps.ddfive,5.00,4.15
2021-06-24,com.vansteinengroentjes.apps.ddfive,NA,4.15
2021-06-25,com.vansteinengroentjes.apps.ddfive,5.00,4.15
2021-06-26,com.vansteinengroentjes.apps.ddfive,4.50,4.15
2021-06-27,com.vansteinengroentjes.apps.ddfive,2.00,4.15
2021-06-28,com.vansteinengroentjes.apps.ddfive,NA,4.15
2021-06-29,com.vansteinengroentjes.apps.ddfive,NA,4.15
2021-06-30,com.vansteinengroentjes.apps.ddfive,NA,4.15
