Date,Package Name,Daily Crashes,Daily ANRs
2021-08-01,com.vansteinengroentjes.apps.ddfive,27,3
2021-08-02,com.vansteinengroentjes.apps.ddfive,10,0
2021-08-03,com.vansteinengroentjes.apps.ddfive,10,0
2021-08-04,com.vansteinengroentjes.apps.ddfive,10,0
2021-08-05,com.vansteinengroentjes.apps.ddfive,9,0
2021-08-06,com.vansteinengroentjes.apps.ddfive,3,0
2021-08-07,com.vansteinengroentjes.apps.ddfive,13,0
2021-08-08,com.vansteinengroentjes.apps.ddfive,10,0
2021-08-09,com.vansteinengroentjes.apps.ddfive,8,0
2021-08-10,com.vansteinengroentjes.apps.ddfive,12,0
2021-08-11,com.vansteinengroentjes.apps.ddfive,14,0
2021-08-12,com.vansteinengroentjes.apps.ddfive,8,0
2021-08-13,com.vansteinengroentjes.apps.ddfive,8,0
2021-08-14,com.vansteinengroentjes.apps.ddfive,15,0
2021-08-15,com.vansteinengroentjes.apps.ddfive,10,0
2021-08-16,com.vansteinengroentjes.apps.ddfive,26,2
2021-08-17,com.vansteinengroentjes.apps.ddfive,18,0
2021-08-18,com.vansteinengroentjes.apps.ddfive,16,0
2021-08-19,com.vansteinengroentjes.apps.ddfive,15,0
2021-08-20,com.vansteinengroentjes.apps.ddfive,8,1
2021-08-21,com.vansteinengroentjes.apps.ddfive,19,0
2021-08-22,com.vansteinengroentjes.apps.ddfive,18,0
2021-08-23,com.vansteinengroentjes.apps.ddfive,10,1
2021-08-24,com.vansteinengroentjes.apps.ddfive,5,1
2021-08-25,com.vansteinengroentjes.apps.ddfive,5,1
2021-08-26,com.vansteinengroentjes.apps.ddfive,8,0
2021-08-27,com.vansteinengroentjes.apps.ddfive,19,1
2021-08-28,com.vansteinengroentjes.apps.ddfive,12,0
2021-08-29,com.vansteinengroentjes.apps.ddfive,33,0
2021-08-30,com.vansteinengroentjes.apps.ddfive,7,0
2021-08-31,com.vansteinengroentjes.apps.ddfive,11,0
