Date,Package Name,Daily Average Rating,Total Average Rating
2021-07-01,com.vansteinengroentjes.apps.ddfive,NA,4.15
2021-07-02,com.vansteinengroentjes.apps.ddfive,3.00,4.15
2021-07-03,com.vansteinengroentjes.apps.ddfive,NA,4.15
2021-07-04,com.vansteinengroentjes.apps.ddfive,NA,4.15
2021-07-05,com.vansteinengroentjes.apps.ddfive,NA,4.15
2021-07-06,com.vansteinengroentjes.apps.ddfive,NA,4.15
2021-07-07,com.vansteinengroentjes.apps.ddfive,NA,4.15
2021-07-08,com.vansteinengroentjes.apps.ddfive,NA,4.15
2021-07-09,com.vansteinengroentjes.apps.ddfive,NA,4.15
2021-07-10,com.vansteinengroentjes.apps.ddfive,NA,4.15
2021-07-11,com.vansteinengroentjes.apps.ddfive,NA,4.15
2021-07-12,com.vansteinengroentjes.apps.ddfive,NA,4.15
2021-07-13,com.vansteinengroentjes.apps.ddfive,1.00,4.15
2021-07-14,com.vansteinengroentjes.apps.ddfive,NA,4.15
2021-07-15,com.vansteinengroentjes.apps.ddfive,2.00,4.14
2021-07-16,com.vansteinengroentjes.apps.ddfive,NA,4.14
2021-07-17,com.vansteinengroentjes.apps.ddfive,NA,4.14
2021-07-18,com.vansteinengroentjes.apps.ddfive,2.50,4.14
2021-07-19,com.vansteinengroentjes.apps.ddfive,NA,4.14
2021-07-20,com.vansteinengroentjes.apps.ddfive,5.00,4.14
2021-07-21,com.vansteinengroentjes.apps.ddfive,NA,4.14
2021-07-22,com.vansteinengroentjes.apps.ddfive,NA,4.14
2021-07-23,com.vansteinengroentjes.apps.ddfive,NA,4.14
2021-07-24,com.vansteinengroentjes.apps.ddfive,NA,4.14
2021-07-25,com.vansteinengroentjes.apps.ddfive,NA,4.14
2021-07-26,com.vansteinengroentjes.apps.ddfive,NA,4.14
2021-07-27,com.vansteinengroentjes.apps.ddfive,NA,4.14
2021-07-28,com.vansteinengroentjes.apps.ddfive,NA,4.14
2021-07-29,com.vansteinengroentjes.apps.ddfive,1.00,4.14
2021-07-30,com.vansteinengroentjes.apps.ddfive,5.00,4.14
2021-07-31,com.vansteinengroentjes.apps.ddfive,NA,4.14
