Date,Package Name,Daily Crashes,Daily ANRs
2021-10-01,com.vansteinengroentjes.apps.ddfive,20,0
2021-10-02,com.vansteinengroentjes.apps.ddfive,31,0
2021-10-03,com.vansteinengroentjes.apps.ddfive,30,2
2021-10-04,com.vansteinengroentjes.apps.ddfive,18,0
2021-10-05,com.vansteinengroentjes.apps.ddfive,21,3
2021-10-06,com.vansteinengroentjes.apps.ddfive,13,0
2021-10-07,com.vansteinengroentjes.apps.ddfive,30,1
2021-10-08,com.vansteinengroentjes.apps.ddfive,5,0
2021-10-09,com.vansteinengroentjes.apps.ddfive,17,0
2021-10-10,com.vansteinengroentjes.apps.ddfive,21,0
2021-10-11,com.vansteinengroentjes.apps.ddfive,18,0
2021-10-12,com.vansteinengroentjes.apps.ddfive,22,0
2021-10-13,com.vansteinengroentjes.apps.ddfive,27,0
2021-10-14,com.vansteinengroentjes.apps.ddfive,15,0
2021-10-15,com.vansteinengroentjes.apps.ddfive,31,0
2021-10-16,com.vansteinengroentjes.apps.ddfive,16,0
2021-10-17,com.vansteinengroentjes.apps.ddfive,13,3
2021-10-18,com.vansteinengroentjes.apps.ddfive,23,0
2021-10-19,com.vansteinengroentjes.apps.ddfive,31,1
2021-10-20,com.vansteinengroentjes.apps.ddfive,19,0
2021-10-21,com.vansteinengroentjes.apps.ddfive,13,0
2021-10-22,com.vansteinengroentjes.apps.ddfive,23,0
2021-10-23,com.vansteinengroentjes.apps.ddfive,18,1
2021-10-24,com.vansteinengroentjes.apps.ddfive,21,0
2021-10-25,com.vansteinengroentjes.apps.ddfive,20,0
2021-10-26,com.vansteinengroentjes.apps.ddfive,17,0
2021-10-27,com.vansteinengroentjes.apps.ddfive,13,0
2021-10-28,com.vansteinengroentjes.apps.ddfive,28,0
2021-10-29,com.vansteinengroentjes.apps.ddfive,14,0
2021-10-30,com.vansteinengroentjes.apps.ddfive,12,2
2021-10-31,com.vansteinengroentjes.apps.ddfive,18,0
